MNIST-1617224843,1617224845.041,0.95,0.0061,0.88,0.0153
MNIST-1617224843,1617224845.046,0.94,0.0082,0.94,0.0087
MNIST-1617224843,1617224845.052,0.89,0.0166,1.0,0.0023
MNIST-1617224843,1617224845.058,0.98,0.0046,0.97,0.0054
MNIST-1617224843,1617224845.064,0.92,0.011,0.88,0.0134
MNIST-1617224843,1617224845.071,0.95,0.0075,0.88,0.0111
MNIST-1617224843,1617224845.077,0.91,0.0098,0.84,0.0153
MNIST-1617224843,1617224845.083,0.89,0.0133,0.97,0.011
MNIST-1617224843,1617224845.088,0.97,0.0061,0.97,0.0077
MNIST-1617224843,1617224845.094,0.93,0.0084,0.97,0.007
MNIST-1617224843,1617224845.101,0.93,0.011,0.94,0.0107
MNIST-1617224843,1617224845.108,0.93,0.0086,0.97,0.009
MNIST-1617224843,1617224845.114,0.97,0.0058,0.94,0.0135
MNIST-1617224843,1617224845.121,0.92,0.0119,1.0,0.0023
MNIST-1617224843,1617224845.127,0.95,0.0085,0.94,0.011
MNIST-1617224843,1617224845.135,0.96,0.0057,0.97,0.006
MNIST-1617224843,1617224845.14,0.93,0.0101,0.91,0.0145
MNIST-1617224843,1617224845.146,0.94,0.0105,0.84,0.0184
MNIST-1617224843,1617224845.152,0.89,0.0154,0.94,0.0083
MNIST-1617224843,1617224845.158,0.9,0.0137,0.97,0.0045
MNIST-1617224843,1617224845.164,0.93,0.0104,0.97,0.0043
MNIST-1617224843,1617224845.171,0.99,0.0036,0.97,0.0092
MNIST-1617224843,1617224845.177,0.97,0.007,0.97,0.0067
MNIST-1617224843,1617224845.183,0.92,0.0112,0.97,0.0056
MNIST-1617224843,1617224845.189,0.89,0.0159,0.91,0.0127
MNIST-1617224843,1617224845.195,0.96,0.0063,1.0,0.0014
MNIST-1617224843,1617224845.2,0.95,0.008,0.94,0.0067
MNIST-1617224843,1617224845.207,0.95,0.0072,1.0,0.0021
MNIST-1617224843,1617224845.212,0.97,0.0072,0.97,0.0036
MNIST-1617224843,1617224845.218,0.98,0.0056,0.84,0.023
MNIST-1617224843,1617224845.224,0.92,0.0113,0.97,0.0094
MNIST-1617224843,1617224845.23,0.95,0.0076,1.0,0.0041
MNIST-1617224843,1617224845.236,0.97,0.0051,0.91,0.0143
MNIST-1617224843,1617224845.242,0.93,0.0105,0.97,0.0066
